Order_ID,Customer_ID,Material_ID,Customer_Type,Material_Group,Price,Size,Discount,Quantity,Order_Date,Season,Brand,Channel,Customer_Purchase_Count,Return_Risk_Prob,Return_Risk_Flag
ORD10001,C2824,P1956,new,shoes,499,M,56.61,1,27-03-2024 11:00,Summer,BrandB,Retail Store,1,0.87,1
ORD10002,C1409,P1151,new,bags,1999,M,38.64,1,25-04-2024 14:00,Summer,BrandB,Retail Store,0,0.49,0
ORD10003,C5506,P1511,new,t-shirts,2599,S,54.22,1,13-12-2024 22:00,Winter,BrandD,Marketplace,0,0.97,1
ORD10004,C5012,P1885,new,dresses,999,L,45.08,3,11-06-2024 21:00,Spring,BrandA,Online,1,0.67,1
ORD10005,C4657,P1324,new,shirts,999,M,20.75,1,05-10-2024 11:00,Spring,BrandC,Retail Store,0,0.57,1
ORD10006,C3286,P1116,new,shirts,499,XL,36.23,2,04-01-2024 14:00,Autumn,BrandC,Marketplace,0,0.85,1
ORD10007,C2679,P1811,new,shirts,499,S,13.22,2,23-12-2024 00:00,Winter,BrandD,Marketplace,1,0.63,1
ORD10008,C9935,P1993,repeat,jackets,1999,L,41.23,1,05-07-2024 13:00,Autumn,BrandD,Online,6,0.22,0
ORD10009,C2424,P1690,repeat,dresses,2499,L,2.69,1,08-05-2024 00:00,Summer,BrandC,Retail Store,9,0.2,0
ORD10010,C7912,P1416,new,t-shirts,999,L,49.88,1,02-12-2024 07:00,Spring,BrandC,Online,0,0.64,1
ORD10011,C1520,P1269,repeat,shirts,999,XL,34.99,3,11-06-2024 09:00,Autumn,BrandA,Online,7,0.31,0
ORD10012,C1488,P1533,repeat,bags,2499,L,3.51,3,10-02-2024 12:00,Autumn,BrandD,Marketplace,5,0.3,0
ORD10013,C2535,P1739,repeat,t-shirts,1999,XL,52.31,1,20-10-2024 08:00,Spring,BrandA,Marketplace,20,0.43,0
ORD10014,C4582,P1003,repeat,pants,1499,M,52.66,1,24-05-2024 01:00,Summer,BrandD,Marketplace,7,0.31,0
ORD10015,C4811,P1461,new,shirts,1499,M,51.17,3,22-09-2024 04:00,Autumn,BrandD,Online,1,0.77,1
ORD10016,C9279,P1965,repeat,shirts,999,S,46.46,1,11-05-2024 09:00,Autumn,BrandA,Marketplace,3,0.45,0
ORD10017,C1434,P1852,repeat,pants,1499,S,40.68,2,26-12-2024 07:00,Winter,BrandB,Online,20,0.28,0
ORD10018,C4257,P1877,new,dresses,1999,M,23.81,2,18-07-2024 19:00,Winter,BrandB,Online,0,0.74,1
ORD10019,C9928,P1128,new,shoes,1499,S,8.18,2,23-08-2024 00:00,Spring,BrandB,Retail Store,0,0.53,1
ORD10020,C7873,P1649,repeat,pants,499,M,17.33,1,02-04-2024 23:00,Spring,BrandD,Online,2,0.25,0
ORD10021,C4611,P1460,new,dresses,1999,S,20.82,4,03-10-2024 03:00,Summer,BrandA,Marketplace,1,0.84,1
ORD10022,C8359,P1654,repeat,shirts,2499,S,21.48,1,07-10-2024 22:00,Summer,BrandB,Online,9,0.3,0
ORD10023,C5557,P1992,repeat,pants,999,XL,33.93,1,15-07-2024 09:00,Autumn,BrandC,Online,20,0.17,0
ORD10024,C1106,P1592,repeat,shoes,1999,S,12.5,1,02-07-2024 21:00,Winter,BrandB,Retail Store,2,0.31,0
ORD10025,C3615,P1099,new,shoes,1499,L,11.38,5,19-06-2024 00:00,Summer,BrandA,Marketplace,1,0.72,1
ORD10026,C7924,P1037,repeat,t-shirts,1999,S,43.02,1,26-03-2024 02:00,Autumn,BrandD,Retail Store,7,0.27,0
ORD10027,C6574,P1223,new,shirts,2599,XL,0.45,3,13-10-2024 20:00,Autumn,BrandA,Online,1,0.6,1
ORD10028,C5552,P1763,new,dresses,2499,XL,8.97,1,23-06-2024 01:00,Spring,BrandD,Marketplace,0,0.8,1
ORD10029,C3547,P1192,repeat,dresses,2599,L,26.1,1,05-12-2024 17:00,Winter,BrandA,Online,8,0.39,0
ORD10030,C4527,P1430,new,shirts,1999,L,8.94,3,01-01-2024 23:00,Autumn,BrandA,Online,1,0.6,1
ORD10031,C6514,P1713,repeat,dresses,2499,S,57.59,3,19-03-2024 05:00,Spring,BrandC,Retail Store,7,0.61,1
ORD10032,C2674,P1559,repeat,shirts,2499,XL,40.21,3,03-10-2024 20:00,Autumn,BrandB,Online,10,0.53,1
ORD10033,C2519,P1792,new,shirts,1999,XL,25.97,1,10-05-2024 12:00,Winter,BrandB,Marketplace,1,0.7,1
ORD10034,C7224,P1170,repeat,jackets,999,XL,6.74,3,21-06-2024 16:00,Autumn,BrandA,Retail Store,10,0.15,0
ORD10035,C2584,P1615,repeat,bags,999,L,23.11,1,28-03-2024 12:00,Autumn,BrandB,Marketplace,8,0.2,0
ORD10036,C6881,P1386,repeat,t-shirts,1499,M,39.04,1,05-05-2024 20:00,Summer,BrandC,Online,7,0.31,0
ORD10037,C6635,P1221,repeat,pants,2599,XL,58.13,1,22-03-2024 21:00,Summer,BrandA,Marketplace,2,0.7,1
ORD10038,C5333,P1356,repeat,shirts,1999,M,28.36,1,18-06-2024 20:00,Spring,BrandB,Online,10,0.2,0
ORD10039,C1711,P1214,repeat,dresses,2599,L,41.54,2,31-03-2024 10:00,Autumn,BrandB,Online,4,0.57,1
ORD10040,C8527,P1975,repeat,shoes,2599,S,11.72,2,28-01-2024 10:00,Spring,BrandD,Online,2,0.46,0
